R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,KO/TKO,AVG_KD,TKO-YES,SIG_STR_PCT,TD_PCT,HEAD_PCT,LEG_PCT
Adrian Yanez,Gustavo Lopez,Chris Tognoni,3/20/21,Alabama,Red,FALSE,Bantamweight,0,0,0.42,0.495,0.33,0.36,0.5,1,0,0,50,20,84,45,76.5,41,114,64,1.5,1,9,6.5,39.5,11,63,27.5,7.5,7,12,9,3,2,9,8.5,35,12.5,43.5,17.5,10.5,4.5,4,3,4.5,3,36.5,24.5,34,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135,1,0,0.5,0.46,0,0,0,0,0,0,34,17,13,6,35,18,16,9,0,0,3,0,32,15,11,5,2,2,2,1,0,0,0,0,33,16,12,6,1,1,1,0,0,0,0,0,5,54,166,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,31,27,1,0,1,0.4575,0.345,0.375609756,0.875
Trevin Giles,Roman Dolidze,Herb Dean,3/20/21,Alabama,Red,FALSE,Middleweight,0.5,0,0.66,0.305,0.3,0.5,1.5,0,0,0,65.5,35,50,16.5,113.5,68.5,68.5,29,2.5,1.5,0.5,0.5,46,20,36,7.5,12,8,8,3,7.5,7,6,6,58,30,48,15.5,0.5,0.5,0.5,0.5,7,4.5,1.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205,1.03125,0.0625,0.576875,0.38125,0.40625,0.11625,0.25,1.1875,0.375,0.25,77.5625,43.15625,69.15625,27.59375,93.125,57.21875,98.34375,52.46875,1.28125,0.78125,4.6875,0.4375,71.09375,38.0625,50.40625,13.34375,4.6875,3.3125,9.09375,6.15625,1.78125,1.78125,9.65625,8.09375,58.3125,30.4375,63.3125,23.125,6.96875,3.65625,5,4.125,12.28125,9.0625,0.84375,0.34375,176.15625,154.6875,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185,32,28,4,0.25,1,0.4825,0.4,0.335365854,0.962962963
Tai Tuivasa,Harry Hunsucker,Herb Dean,3/20/21,Alabama,Red,FALSE,Heavyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241,0.546875,0.1875,0.53890625,0.59859375,0,0.3125,0,0.25,0,0,59.234375,30.375,43.8125,24.796875,70.5,41.390625,50.234375,30.90625,0.03125,0,2.84375,1.75,42.5,16.78125,34.296875,17.9375,5.78125,4.546875,6.125,3.71875,10.953125,9.046875,3.390625,3.140625,45.875,20.28125,36.34375,18.6875,11.328125,8.5625,1.4375,1.171875,2.03125,1.53125,6.03125,4.9375,82.453125,89.78125,448.203125,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264,32,28,3,0,1,0,0,0,0
Cheyanne Buys,Montserrat Conejo,Mark Smith,3/20/21,Alabama,Blue,FALSE,WomenStrawweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115,28,25,0,0,0,0,0,0,0
Marion Reneau,Macy Chiasson,Mark Smith,3/20/21,Alabama,Blue,FALSE,WomenBantamweight,0.125,0,0.535625,0.57875,0.185,0.16625,0.125,0.1875,0.25,0,109.1875,57.9375,50.625,28.4375,170.4375,105.625,74.375,44.25,5.375,1.5,2,0.625,77.375,31.375,41.5625,22.625,31.1875,26.1875,7.6875,4.9375,0.625,0.375,1.375,0.875,33.5625,11,32.0625,13.9375,39.0625,28.8125,13.3125,10.75,36.5625,18.125,5.25,3.75,390.25,156.3125,764,11,1,3,0,3,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135,0,0.000976563,0.403076172,0.554960938,0.51171875,0.62875,0.231445313,0.03125,0.03125,0.5,109.3310547,44.36230469,148.8466797,84.5546875,137.1542969,70.19824219,172.4990234,106.6806641,2.26171875,1.26171875,3.137695313,1.771484375,86.375,26.03027344,94.22558594,38.69335938,17.27246094,13.46972656,37.71777344,31.65820313,5.68359375,4.862304688,16.90332031,14.203125,85.84570313,27.90722656,106.9130859,48.47949219,18.99609375,13.97070313,35.3125,32.05957031,4.489257813,2.484375,6.62109375,4.015625,141.2851563,310.1523438,874.3808594,30,0,2,0,2,5,6,0,0,0,1,2,2,0,Orthodox,167.64,172.72,135,29,43,4,0.0625,1,0.5571875,0.175625,0.454019968,0.625
Leonardo Santos,Grant Dawson,Chris Tognoni,3/20/21,Alabama,Blue,FALSE,Lightweight,0,0,0.515,0.47375,0.435,0.25,1.25,0.625,0,0.25,86,40.75,55.5,25.125,150.625,93.5,79,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2,3,2.75,14,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145,0.3125,0.015625,0.56515625,0.34359375,0.33703125,0.04890625,0.0390625,0,0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155,27,41,2,0,1,0.494375,0.3425,0.366504854,0.86013986
Song Kenan,Max Griffin,Keith Peterson,3/20/21,Alabama,Blue,FALSE,Welterweight,0.046875,0.125,0.459277344,0.4046875,0.3221875,0.068867188,0.189453125,0,0.283203125,0,130.8183594,60.11328125,129.3378906,50.54882813,151.5546875,78.32421875,137.4277344,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.81445313,111.2675781,37.83007813,20.95117188,14.41992188,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.1308594,55.88867188,122.1933594,45.86914063,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170,0.625,0,0.493125,0.43,0,0.6875,0,0.25,0.25,0.25,73.8125,33.5,61.0625,26.5,77.5625,36.5625,67.4375,32.125,0,0,2.375,1.375,56.5625,23.375,51.5625,19.0625,11.375,5.875,5.5625,4.1875,5.875,4.25,3.9375,3.25,66.75,28.9375,55.75,23.6875,5.375,3,4.5,2.25,1.6875,1.5625,0.8125,0.5625,13.5,92.4375,445,10,0,2,0,2,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170,35,31,5,0.0859375,1,0.431982422,0.195527344,0.35882993,0.923054588
Derek Brunson,Kevin Holland,Herb Dean,3/20/21,Alabama,Red,FALSE,Middleweight,0.15625,0,0.791582031,0.850585938,0.269199219,0.393398438,0.029296875,0.080078125,0.0234375,0.041015625,39.2109375,26.078125,24.49414063,11.953125,61.64453125,47.79101563,31.27929688,17.46484375,0.935546875,0.529296875,2.759765625,1.451171875,31.01953125,19.921875,15.76367188,5.615234375,4.162109375,2.685546875,4.70703125,2.8203125,4.029296875,3.470703125,4.0234375,3.517578125,25.35546875,14.09375,17.171875,7.177734375,3.630859375,2.984375,1.857421875,1.353515625,10.22460938,9,5.46484375,3.421875,69.5,82.31640625,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185,0.024551392,0.220703125,0.515636139,0.445974121,0.35582428,0,9.16E-05,0,0,0,133.4735107,72.17990112,95.71842957,41.51147461,150.5239868,88.71699524,102.1464386,47.68928528,8.111679077,3.008209229,2.156860352,0,98.62075806,46.65184021,66.27102661,20.73251343,22.16374207,15.4604187,21.70651245,16.69836426,12.68901062,10.06764221,7.740890503,4.080596924,102.852951,50.01177979,84.98669434,32.96481323,11.84820557,7.164001465,10.28755188,8.202209473,18.77235413,15.00411987,0.44418335,0.344451904,157.8121185,3.515289307,683.1185608,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,28,37,10,0.078125,1,0.821083984,0.331298828,0.545860644,0.867814698
Montel Jackson,Jesse Strader,Keith Peterson,3/20/21,Alabama,Red,FALSE,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0.75,0,0.615,0.474375,0.66875,0.386875,0.0625,1.25,0.625,0,68,43,28.1875,12.9375,117.625,88.4375,41.6875,25.25,5.875,4.25,12.9375,4.8125,55.4375,31.8125,17.5,5.1875,9,8.3125,5.6875,3.5,3.5625,2.875,5,4.25,41.875,21.625,21.875,8.25,19.5,15.6875,5.25,4.1875,6.625,5.6875,1.0625,0.5,301.5625,303.5,850,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135,29,28,0,0,0,0,0,0,0
Bruno Silva,JP Buys,Mark Smith,3/20/21,Alabama,Red,FALSE,Flyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,0,0.25,0.42,0.4175,0.3625,0.225,0,0.25,0,0.5,93.75,39.75,116.25,49.25,117,57.25,148,76,9.5,3.25,6,2.5,66,18.5,93.75,35,13,10,14.5,8.5,14.75,11.25,8,5.75,80.25,31.25,101.75,40,7.75,5.75,9.25,5.5,5.75,2.75,5.25,3.75,198,141.5,870,9,0,0,3,0,0,3,0,0,0,0,0,0,0,,182.88,,185,24,31,0,0,0,0,0,0,0
